"Date";"Region";"Region_code";"Vaccine_name";"first_dose";"second_dose"
2021-05-15;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;1287
2021-05-15;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";4381;187
2021-05-15;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-15;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";479;290
2021-05-15;"Košický kraj";"SK042";"Comirnaty koncentrát na injekènú disperziu";2333;9
2021-05-15;"Košický kraj";"SK042";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";1253;1262
2021-05-15;"Košický kraj";"SK042";"COVID-19 Vaccine Moderna injekèná disperzia";0;0
2021-05-15;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";2489;57
2021-05-15;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;1790
2021-05-15;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";889;1
2021-05-15;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";3127;4
2021-05-15;"Prešovský kraj";"SK041";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;5292
2021-05-15;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";218;237
2021-05-15;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";4089;243
2021-05-15;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-15;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekènú disperziu";3402;0
2021-05-15;"Trnavský kraj";"SK021";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";13;7404
2021-05-15;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";1936;4
2021-05-15;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;2367
2021-05-14;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";4765;520
2021-05-14;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;68
2021-05-14;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine Moderna injekèná disperzia";19;419
2021-05-14;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";1556;1332
2021-05-14;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";33;3084
2021-05-14;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";286;1133
2021-05-14;"Košický kraj";"SK042";"Comirnaty koncentrát na injekènú disperziu";2124;604
2021-05-14;"Košický kraj";"SK042";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";1;2551
2021-05-14;"Košický kraj";"SK042";"COVID-19 Vaccine Moderna injekèná disperzia";0;0
2021-05-14;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";2787;1103
2021-05-14;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-14;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";128;4
2021-05-14;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";2554;638
2021-05-14;"Prešovský kraj";"SK041";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-14;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";155;625
2021-05-14;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";2098;399
2021-05-14;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;38
2021-05-14;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine Moderna injekèná disperzia";226;105
2021-05-14;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekènú disperziu";2476;530
2021-05-14;"Trnavský kraj";"SK021";"COVID-19 Vaccine Moderna injekèná disperzia";144;218
2021-05-14;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";1925;538
2021-05-14;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;532
2021-05-14;"Žilinský kraj";"SK031";"COVID-19 Vaccine Moderna injekèná disperzia";430;143
2021-05-13;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";2090;342
2021-05-13;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;975
2021-05-13;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine Moderna injekèná disperzia";40;385
2021-05-13;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";1640;1021
2021-05-13;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";1;32
2021-05-13;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";227;1228
2021-05-13;"Košický kraj";"SK042";"Comirnaty koncentrát na injekènú disperziu";2345;845
2021-05-13;"Košický kraj";"SK042";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";35;2629
2021-05-13;"Košický kraj";"SK042";"COVID-19 Vaccine Moderna injekèná disperzia";0;0
2021-05-13;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";2812;1087
2021-05-13;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-13;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";131;1
2021-05-13;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";2101;598
2021-05-13;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";103;598
2021-05-13;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";1784;592
2021-05-13;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;35
2021-05-13;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine Moderna injekèná disperzia";431;108
2021-05-13;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekènú disperziu";1326;565
2021-05-13;"Trnavský kraj";"SK021";"COVID-19 Vaccine Moderna injekèná disperzia";145;217
2021-05-13;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";2473;290
2021-05-13;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";58;404
2021-05-13;"Žilinský kraj";"SK031";"COVID-19 Vaccine Moderna injekèná disperzia";294;145
2021-05-12;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";2179;449
2021-05-12;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";1;58
2021-05-12;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine Moderna injekèná disperzia";48;377
2021-05-12;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";1974;1118
2021-05-12;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;66
2021-05-12;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";231;1275
2021-05-12;"Košický kraj";"SK042";"Comirnaty koncentrát na injekènú disperziu";2606;931
2021-05-12;"Košický kraj";"SK042";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;83
2021-05-12;"Košický kraj";"SK042";"COVID-19 Vaccine Moderna injekèná disperzia";123;1753
2021-05-12;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";3121;821
2021-05-12;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-12;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";128;4
2021-05-12;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";1969;869
2021-05-12;"Prešovský kraj";"SK041";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;396
2021-05-12;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";118;646
2021-05-12;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";1969;503
2021-05-12;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;28
2021-05-12;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine Moderna injekèná disperzia";368;103
2021-05-12;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekènú disperziu";1088;761
2021-05-12;"Trnavský kraj";"SK021";"COVID-19 Vaccine Moderna injekèná disperzia";140;222
2021-05-12;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";2590;331
2021-05-12;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;6
2021-05-12;"Žilinský kraj";"SK031";"COVID-19 Vaccine Moderna injekèná disperzia";272;138
2021-05-11;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";2092;380
2021-05-11;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";29;415
2021-05-11;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine Moderna injekèná disperzia";44;385
2021-05-11;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";2500;600
2021-05-11;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;66
2021-05-11;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";379;1140
2021-05-11;"Košický kraj";"SK042";"Comirnaty koncentrát na injekènú disperziu";4700;742
2021-05-11;"Košický kraj";"SK042";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;76
2021-05-11;"Košický kraj";"SK042";"COVID-19 Vaccine Moderna injekèná disperzia";0;0
2021-05-11;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";2961;1041
2021-05-11;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-11;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";131;1
2021-05-11;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";2226;342
2021-05-11;"Prešovský kraj";"SK041";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";15;367
2021-05-11;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";360;398
2021-05-11;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";1465;630
2021-05-11;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";9;119
2021-05-11;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine Moderna injekèná disperzia";512;228
2021-05-11;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekènú disperziu";1587;690
