"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[315-by-1]","tseries[315-by-1]"
"2020-Nov-05",8.68438449e-01,1.01022336e+00
"2020-Nov-06",8.59110337e-01,9.90659134e-01
"2020-Nov-07",8.50552999e-01,9.68572442e-01
"2020-Nov-08",8.41492821e-01,9.51172738e-01
"2020-Nov-09",8.31124415e-01,9.37521510e-01
"2020-Nov-10",8.19444146e-01,9.26782711e-01
"2020-Nov-11",8.07287757e-01,9.19996579e-01
"2020-Nov-12",7.96228656e-01,9.15986729e-01
"2020-Nov-13",7.88354339e-01,9.12404662e-01
"2020-Nov-14",7.85851186e-01,9.09815927e-01
"2020-Nov-15",7.90385974e-01,9.09072026e-01
"2020-Nov-16",8.02652429e-01,9.09526196e-01
"2020-Nov-17",8.21981391e-01,9.11938345e-01
"2020-Nov-18",8.46267278e-01,9.16027059e-01
"2020-Nov-19",8.72387338e-01,9.22050893e-01
"2020-Nov-20",8.97103859e-01,9.28987305e-01
"2020-Nov-21",9.17911601e-01,9.37034640e-01
"2020-Nov-22",9.33770301e-01,9.47653733e-01
"2020-Nov-23",9.45297778e-01,9.66806107e-01
"2020-Nov-24",9.54404709e-01,9.91392633e-01
"2020-Nov-25",9.63525682e-01,1.02114397e+00
"2020-Nov-26",9.74868627e-01,1.05508844e+00
"2020-Nov-27",9.89653657e-01,1.08690526e+00
"2020-Nov-28",1.00778156e+00,1.09899868e+00
"2020-Nov-29",1.02795298e+00,1.09721405e+00
"2020-Nov-30",1.04815940e+00,1.08380689e+00
"2020-Dec-01",1.06631908e+00,1.06055927e+00
"2020-Dec-02",1.08098577e+00,1.03396143e+00
"2020-Dec-03",1.09169244e+00,1.02034667e+00
"2020-Dec-04",1.09896811e+00,1.01655172e+00
"2020-Dec-05",1.10417676e+00,1.02117269e+00
"2020-Dec-06",1.10914850e+00,1.03292800e+00
"2020-Dec-07",1.11567082e+00,1.05138164e+00
"2020-Dec-08",1.12506284e+00,1.06978755e+00
"2020-Dec-09",1.13780953e+00,1.08742873e+00
"2020-Dec-10",1.15319025e+00,1.10411160e+00
"2020-Dec-11",1.16931042e+00,1.11871508e+00
"2020-Dec-12",1.18349242e+00,1.12235884e+00
"2020-Dec-13",1.19286240e+00,1.11775759e+00
"2020-Dec-14",1.19501134e+00,1.10738334e+00
"2020-Dec-15",1.18866314e+00,1.09465864e+00
"2020-Dec-16",1.17384624e+00,1.08293675e+00
"2020-Dec-17",1.15170604e+00,1.08356568e+00
"2020-Dec-18",1.12415014e+00,1.09484264e+00
"2020-Dec-19",1.09346515e+00,1.11616421e+00
"2020-Dec-20",1.06191977e+00,1.14367455e+00
"2020-Dec-21",1.03162365e+00,1.17496244e+00
"2020-Dec-22",1.00450848e+00,1.20742675e+00
"2020-Dec-23",9.82389586e-01,1.23930373e+00
"2020-Dec-24",9.66931180e-01,1.26747673e+00
"2020-Dec-25",9.59506657e-01,1.28732899e+00
"2020-Dec-26",9.60941677e-01,1.29876093e+00
"2020-Dec-27",9.71294063e-01,1.29184321e+00
"2020-Dec-28",9.89557447e-01,1.27196174e+00
"2020-Dec-29",1.01372833e+00,1.24401695e+00
"2020-Dec-30",1.04126131e+00,1.21693537e+00
"2020-Dec-31",1.06954274e+00,1.19157894e+00
"2021-Jan-01",1.09616995e+00,1.17998456e+00
"2021-Jan-02",1.11935505e+00,1.17901961e+00
"2021-Jan-03",1.13788722e+00,1.18598294e+00
"2021-Jan-04",1.15076469e+00,1.20084723e+00
"2021-Jan-05",1.15709128e+00,1.22231370e+00
"2021-Jan-06",1.15625204e+00,1.24468159e+00
"2021-Jan-07",1.14790562e+00,1.26727011e+00
"2021-Jan-08",1.13217873e+00,1.29032711e+00
"2021-Jan-09",1.10996059e+00,1.30113954e+00
"2021-Jan-10",1.08288948e+00,1.30077063e+00
"2021-Jan-11",1.05314274e+00,1.29090692e+00
"2021-Jan-12",1.02327167e+00,1.27341184e+00
"2021-Jan-13",9.95926719e-01,1.24807104e+00
"2021-Jan-14",9.73495481e-01,1.22763651e+00
