"Variables ->","newcases_rep","newcases_imp","newcases_imp_fcast","test_eff","H_imp","H_rep","D_imp","D_rep"
"Comments ->","","","","","","","",""
"Class[Size] ->","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]"
"2020-Dec-13",2.55098400e+03,3.09972650e+03,NaN,8.35038028e+01,1.48450743e+03,2.02877600e+03,1.19365262e+03,1.62817083e+03
"2020-Dec-14",2.67923200e+03,3.11974443e+03,NaN,8.50160444e+01,1.54526051e+03,2.06395200e+03,1.23201174e+03,1.68431548e+03
"2020-Dec-15",2.79337600e+03,3.11819311e+03,NaN,8.62289100e+01,1.61160170e+03,2.09735200e+03,1.27247002e+03,1.74215595e+03
"2020-Dec-16",2.87759200e+03,3.10180710e+03,NaN,8.69490188e+01,1.68404872e+03,2.12742400e+03,1.31449233e+03,1.80072857e+03
"2020-Dec-17",2.91528800e+03,3.07943052e+03,NaN,8.70020793e+01,1.76131368e+03,2.15415200e+03,1.35763467e+03,1.85918155e+03
"2020-Dec-18",2.91020000e+03,3.08455044e+03,NaN,8.62653217e+01,1.84306762e+03,2.17830400e+03,1.40161326e+03,1.91695179e+03
"2020-Dec-19",2.87073600e+03,3.11937341e+03,NaN,8.46921605e+01,1.92757559e+03,2.19994400e+03,1.44645062e+03,1.97396726e+03
"2020-Dec-20",2.80530400e+03,3.18770005e+03,NaN,8.23243606e+01,2.01218707e+03,2.21824800e+03,1.49246742e+03,2.03062321e+03
"2020-Dec-21",2.72245600e+03,3.28394283e+03,NaN,7.92902178e+01,2.09028342e+03,2.23384000e+03,1.54028728e+03,2.08774821e+03
"2020-Dec-22",2.63074400e+03,3.40484265e+03,NaN,7.57898576e+01,2.16008119e+03,2.24928000e+03,1.59076974e+03,2.14651667e+03
"2020-Dec-23",2.53188000e+03,3.54562959e+03,NaN,7.20707455e+01,2.21977353e+03,2.26802400e+03,1.64490496e+03,2.20826071e+03
"2020-Dec-24",2.43189600e+03,3.70260963e+03,NaN,6.83977778e+01,2.26739756e+03,2.29342400e+03,1.70360860e+03,2.27419286e+03
"2020-Dec-25",2.33682400e+03,3.86684672e+03,NaN,6.50224927e+01,2.30768821e+03,2.32932000e+03,1.76753893e+03,2.34521845e+03
"2020-Dec-26",2.25970400e+03,4.02194935e+03,NaN,6.21553957e+01,2.33264988e+03,2.37664000e+03,1.83694295e+03,2.42180298e+03
"2020-Dec-27",2.21357600e+03,4.16124383e+03,NaN,5.99445318e+01,2.33238333e+03,2.43164800e+03,1.91145572e+03,2.50387024e+03
"2020-Dec-28",2.20466400e+03,4.24518245e+03,NaN,5.84627046e+01,2.29560078e+03,2.48909600e+03,1.99011823e+03,2.59086250e+03
"2020-Dec-29",2.22876000e+03,4.27548476e+03,NaN,5.77045063e+01,2.22936491e+03,2.54452000e+03,2.07141493e+03,2.68180595e+03
"2020-Dec-30",2.28840000e+03,4.25835481e+03,NaN,5.75931023e+01,2.13714096e+03,2.59422400e+03,2.15357355e+03,2.77547321e+03
"2020-Dec-31",2.36471200e+03,4.21945504e+03,NaN,5.79950555e+01,2.02965637e+03,2.63830400e+03,2.23477029e+03,2.87052798e+03
"2021-Jan-01",2.43882400e+03,4.16429953e+03,NaN,5.87406212e+01,1.91567052e+03,2.67944000e+03,2.31344263e+03,2.96575060e+03
"2021-Jan-02",2.51225600e+03,4.13787554e+03,NaN,5.96459943e+01,1.81143326e+03,2.71944800e+03,2.38844063e+03,3.06017202e+03
"2021-Jan-03",2.59102400e+03,4.13961723e+03,NaN,6.05340498e+01,1.72230200e+03,2.75879200e+03,2.45920230e+03,3.15314881e+03
"2021-Jan-04",2.66091200e+03,4.16685853e+03,NaN,6.12508852e+01,1.64115422e+03,2.79847200e+03,2.52563981e+03,3.24437202e+03
"2021-Jan-05",2.72876000e+03,4.22418180e+03,NaN,6.16770711e+01,1.56659768e+03,2.83732000e+03,2.58791167e+03,3.33386190e+03
"2021-Jan-06",2.79985600e+03,4.31176446e+03,NaN,6.17332283e+01,1.50805178e+03,2.87355200e+03,2.64637502e+03,3.42194048e+03
"2021-Jan-07",2.85665600e+03,4.41354676e+03,NaN,6.13806029e+01,1.46626290e+03,2.90741600e+03,2.70160598e+03,3.50910774e+03
