"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Sep-24",1.41100139e+00,1.42094782e+00,1.43247348e+00,1.44028497e+00,1.44651356e+00,1.45187144e+00,1.45669426e+00,1.46117286e+00,1.46543109e+00,1.46955885e+00,1.47362873e+00,1.47770612e+00,1.48185688e+00,1.48615519e+00,1.49069394e+00,1.49560231e+00,1.50108066e+00,1.50748319e+00,1.51556481e+00,1.52759592e+00,1.53808238e+00,1.47362873e+00,1.47386644e+00,3.24205911e-02
"2020-Sep-25",1.38594001e+00,1.39548219e+00,1.40653812e+00,1.41403047e+00,1.42000413e+00,1.42514241e+00,1.42976731e+00,1.43406190e+00,1.43814499e+00,1.44210280e+00,1.44600495e+00,1.44991413e+00,1.45389350e+00,1.45801413e+00,1.46236507e+00,1.46707010e+00,1.47232124e+00,1.47845785e+00,1.48620325e+00,1.49773268e+00,1.50778076e+00,1.44600495e+00,1.44622764e+00,3.10836553e-02
"2020-Sep-26",1.35862333e+00,1.36777693e+00,1.37838151e+00,1.38556732e+00,1.39129618e+00,1.39622362e+00,1.40065853e+00,1.40477652e+00,1.40869155e+00,1.41248630e+00,1.41622754e+00,1.41997539e+00,1.42379037e+00,1.42774063e+00,1.43191150e+00,1.43642163e+00,1.44145499e+00,1.44733678e+00,1.45476009e+00,1.46580906e+00,1.47543745e+00,1.41622754e+00,1.41643654e+00,2.98012250e-02
"2020-Sep-27",1.33418689e+00,1.34298766e+00,1.35318245e+00,1.36008996e+00,1.36559659e+00,1.37033264e+00,1.37459509e+00,1.37855278e+00,1.38231526e+00,1.38596201e+00,1.38955721e+00,1.39315861e+00,1.39682440e+00,1.40062004e+00,1.40462750e+00,1.40896074e+00,1.41379647e+00,1.41944704e+00,1.42657806e+00,1.43719109e+00,1.44643871e+00,1.38955721e+00,1.38975390e+00,2.86372615e-02
"2020-Sep-28",1.31606221e+00,1.32455604e+00,1.33439428e+00,1.34105959e+00,1.34637281e+00,1.35094226e+00,1.35505458e+00,1.35887270e+00,1.36250236e+00,1.36602024e+00,1.36948826e+00,1.37296214e+00,1.37649800e+00,1.38015896e+00,1.38402408e+00,1.38820323e+00,1.39286679e+00,1.39831589e+00,1.40519223e+00,1.41542532e+00,1.42434103e+00,1.36948826e+00,1.36967396e+00,2.76236408e-02
"2020-Sep-29",1.30640168e+00,1.31463748e+00,1.32417582e+00,1.33063735e+00,1.33578776e+00,1.34021694e+00,1.34420283e+00,1.34790340e+00,1.35142116e+00,1.35483046e+00,1.35819130e+00,1.36155769e+00,1.36498401e+00,1.36853141e+00,1.37227648e+00,1.37632566e+00,1.38084396e+00,1.38612304e+00,1.39278439e+00,1.40269663e+00,1.41133191e+00,1.35819130e+00,1.35836714e+00,2.67693211e-02
"2020-Sep-30",1.30648448e+00,1.31450951e+00,1.32380267e+00,1.33009746e+00,1.33511459e+00,1.33942889e+00,1.34331119e+00,1.34691542e+00,1.35034143e+00,1.35366167e+00,1.35693458e+00,1.36021276e+00,1.36354915e+00,1.36700331e+00,1.37064977e+00,1.37459214e+00,1.37899103e+00,1.38413029e+00,1.39061475e+00,1.40026282e+00,1.40866703e+00,1.35693458e+00,1.35710149e+00,2.60683010e-02
"2020-Oct-01",1.31634321e+00,1.32419794e+00,1.33329275e+00,1.33945249e+00,1.34436159e+00,1.34858272e+00,1.35238095e+00,1.35590694e+00,1.35925843e+00,1.36250629e+00,1.36570771e+00,1.36891413e+00,1.37217735e+00,1.37555559e+00,1.37912173e+00,1.38297707e+00,1.38727860e+00,1.39230380e+00,1.39864384e+00,1.40807602e+00,1.41629121e+00,1.36570771e+00,1.36586637e+00,2.54981868e-02
"2020-Oct-02",1.33511094e+00,1.34282601e+00,1.35175791e+00,1.35780659e+00,1.36262675e+00,1.36677112e+00,1.37050005e+00,1.37396151e+00,1.37725148e+00,1.38043957e+00,1.38358191e+00,1.38672902e+00,1.38993171e+00,1.39324712e+00,1.39674676e+00,1.40052999e+00,1.40475082e+00,1.40968139e+00,1.41590152e+00,1.42515424e+00,1.43321209e+00,1.38358191e+00,1.38373279e+00,2.50269809e-02
"2020-Oct-03",1.36135980e+00,1.36895482e+00,1.37774646e+00,1.38369940e+00,1.38844284e+00,1.39252093e+00,1.39618998e+00,1.39959566e+00,1.40283243e+00,1.40596880e+00,1.40906000e+00,1.41215573e+00,1.41530597e+00,1.41856691e+00,1.42200886e+00,1.42572951e+00,1.42988025e+00,1.43472859e+00,1.44084444e+00,1.44994093e+00,1.45786163e+00,1.40906000e+00,1.40920336e+00,2.46189258e-02
"2020-Oct-04",1.39287052e+00,1.40035299e+00,1.40901309e+00,1.41487618e+00,1.41954758e+00,1.42356341e+00,1.42717621e+00,1.43052947e+00,1.43371624e+00,1.43680397e+00,1.43984708e+00,1.44289448e+00,1.44599537e+00,1.44920506e+00,1.45259272e+00,1.45625445e+00,1.46033919e+00,1.46511007e+00,1.47112766e+00,1.48007685e+00,1.48786819e+00,1.43984708e+00,1.43998304e+00,2.42351489e-02
"2020-Oct-05",1.42696042e+00,1.43432637e+00,1.44285033e+00,1.44862047e+00,1.45321737e+00,1.45716886e+00,1.46072351e+00,1.46402259e+00,1.46715769e+00,1.47019519e+00,1.47318862e+00,1.47618611e+00,1.47923606e+00,1.48239283e+00,1.48572444e+00,1.48932537e+00,1.49334201e+00,1.49803299e+00,1.50394924e+00,1.51274658e+00,1.52040463e+00,1.47318862e+00,1.47331719e+00,2.38387940e-02
"2020-Oct-06",1.46182842e+00,1.46906689e+00,1.47744205e+00,1.48311071e+00,1.48762633e+00,1.49150763e+00,1.49499890e+00,1.49823896e+00,1.50131778e+00,1.50430059e+00,1.50723996e+00,1.51018316e+00,1.51317770e+00,1.51627695e+00,1.51954766e+00,1.52308254e+00,1.52702524e+00,1.53162952e+00,1.53743586e+00,1.54606865e+00,1.55358238e+00,1.50723996e+00,1.50736112e+00,2.34075479e-02
"2020-Oct-07",1.49671284e+00,1.50381030e+00,1.51202108e+00,1.51757773e+00,1.52200369e+00,1.52580763e+00,1.52922909e+00,1.53240414e+00,1.53542102e+00,1.53834366e+00,1.54122357e+00,1.54410708e+00,1.54704072e+00,1.55007677e+00,1.55328061e+00,1.55674300e+00,1.56060458e+00,1.56511377e+00,1.57079967e+00,1.57925230e+00,1.58660815e+00,1.54122357e+00,1.54133731e+00,2.29333457e-02
"2020-Oct-08",1.53002398e+00,1.53696371e+00,1.54499083e+00,1.55042248e+00,1.55474846e+00,1.55846618e+00,1.56180986e+00,1.56491254e+00,1.56786049e+00,1.57071618e+00,1.57352998e+00,1.57634713e+00,1.57921312e+00,1.58217899e+00,1.58530858e+00,1.58869053e+00,1.59246214e+00,1.59686594e+00,1.60241843e+00,1.61067167e+00,1.61785299e+00,1.57352998e+00,1.57363632e+00,2.24061704e-02
"2020-Oct-09",1.55893208e+00,1.56569288e+00,1.57351192e+00,1.57880209e+00,1.58301501e+00,1.58663529e+00,1.58989112e+00,1.59291211e+00,1.59578227e+00,1.59856246e+00,1.60130172e+00,1.60404411e+00,1.60683389e+00,1.60972074e+00,1.61276679e+00,1.61605826e+00,1.61972872e+00,1.62401411e+00,1.62941681e+00,1.63744642e+00,1.64443220e+00,1.60130172e+00,1.60140075e+00,2.18120113e-02
"2020-Oct-10",1.58181158e+00,1.58837219e+00,1.59595867e+00,1.60109088e+00,1.60517764e+00,1.60868927e+00,1.61184718e+00,1.61477714e+00,1.61756067e+00,1.62025681e+00,1.62291313e+00,1.62557235e+00,1.62827738e+00,1.63107640e+00,1.63402962e+00,1.63722059e+00,1.64077877e+00,1.64493277e+00,1.65016938e+00,1.65795123e+00,1.66472057e+00,1.62291313e+00,1.62300501e+00,2.11509549e-02
