"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Sep-23",1.48045111e+00,1.50672212e+00,1.53739740e+00,1.55832878e+00,1.57509989e+00,1.58958393e+00,1.60266672e+00,1.61485393e+00,1.62647549e+00,1.63777249e+00,1.64894137e+00,1.66016092e+00,1.67161320e+00,1.68350521e+00,1.69609839e+00,1.70975853e+00,1.72505558e+00,1.74300056e+00,1.76575488e+00,1.79984104e+00,1.82975603e+00,1.64894137e+00,1.65054555e+00,8.91328263e-02
"2020-Sep-24",1.51160257e+00,1.53715088e+00,1.56696441e+00,1.58729697e+00,1.60358210e+00,1.61764208e+00,1.63033842e+00,1.64216275e+00,1.65343572e+00,1.66439149e+00,1.67522074e+00,1.68609687e+00,1.69719630e+00,1.70871947e+00,1.72091939e+00,1.73414988e+00,1.74896203e+00,1.76633319e+00,1.78835227e+00,1.82132144e+00,1.85024109e+00,1.67522074e+00,1.67670487e+00,8.64090885e-02
"2020-Sep-25",1.52709110e+00,1.55174432e+00,1.58049782e+00,1.60009810e+00,1.61579136e+00,1.62933658e+00,1.64156512e+00,1.65295128e+00,1.66380429e+00,1.67434986e+00,1.68477169e+00,1.69523667e+00,1.70591452e+00,1.71699790e+00,1.72872988e+00,1.74145023e+00,1.75568800e+00,1.77238122e+00,1.79353436e+00,1.82519342e+00,1.85295083e+00,1.68477169e+00,1.68613820e+00,8.31467378e-02
"2020-Sep-26",1.52597916e+00,1.54960128e+00,1.57713917e+00,1.59590295e+00,1.61092196e+00,1.62388205e+00,1.63557985e+00,1.64646974e+00,1.65684784e+00,1.66693025e+00,1.67689267e+00,1.68689472e+00,1.69709853e+00,1.70768811e+00,1.71889543e+00,1.73104467e+00,1.74464047e+00,1.76057737e+00,1.78076657e+00,1.81097155e+00,1.83744310e+00,1.67689267e+00,1.67814703e+00,7.94721763e-02
"2020-Sep-27",1.50920792e+00,1.53171005e+00,1.55793164e+00,1.57579211e+00,1.59008440e+00,1.60241480e+00,1.61354221e+00,1.62389938e+00,1.63376828e+00,1.64335458e+00,1.65282544e+00,1.66233263e+00,1.67203024e+00,1.68209301e+00,1.69274119e+00,1.70428248e+00,1.71719569e+00,1.73232948e+00,1.75149674e+00,1.78016348e+00,1.80527794e+00,1.65282544e+00,1.65397542e+00,7.55432764e-02
"2020-Sep-28",1.47785311e+00,1.49918706e+00,1.52403898e+00,1.54096145e+00,1.55450024e+00,1.56617852e+00,1.57671583e+00,1.58652240e+00,1.59586544e+00,1.60493983e+00,1.61390388e+00,1.62290126e+00,1.63207775e+00,1.64159864e+00,1.65167216e+00,1.66258913e+00,1.67480205e+00,1.68911277e+00,1.70723400e+00,1.73432895e+00,1.75805929e+00,1.61390388e+00,1.61495879e+00,7.14947714e-02
"2020-Sep-29",1.43318759e+00,1.45333908e+00,1.47680728e+00,1.49278374e+00,1.50556351e+00,1.51658555e+00,1.52652954e+00,1.53578291e+00,1.54459801e+00,1.55315880e+00,1.56161470e+00,1.57010124e+00,1.57875592e+00,1.58773455e+00,1.59723341e+00,1.60752650e+00,1.61904016e+00,1.63252976e+00,1.64960855e+00,1.67513932e+00,1.69749442e+00,1.56161470e+00,1.56258474e+00,6.74374654e-02
"2020-Sep-30",1.37767825e+00,1.39666680e+00,1.41877626e+00,1.43382510e+00,1.44586134e+00,1.45624105e+00,1.46560469e+00,1.47431732e+00,1.48261666e+00,1.49067598e+00,1.49863601e+00,1.50662433e+00,1.51477035e+00,1.52322068e+00,1.53215997e+00,1.54184596e+00,1.55267959e+00,1.56537124e+00,1.58143788e+00,1.60545178e+00,1.62647499e+00,1.49863601e+00,1.49953168e+00,6.34796989e-02
"2020-Oct-01",1.31475156e+00,1.33262867e+00,1.35344128e+00,1.36760574e+00,1.37893370e+00,1.38870194e+00,1.39751343e+00,1.40571186e+00,1.41352100e+00,1.42110393e+00,1.42859308e+00,1.43610850e+00,1.44377193e+00,1.45172128e+00,1.46013017e+00,1.46924098e+00,1.47943070e+00,1.49136724e+00,1.50647678e+00,1.52905775e+00,1.54882414e+00,1.42859308e+00,1.42942475e+00,5.97226349e-02
"2020-Oct-02",1.25115542e+00,1.26801984e+00,1.28765180e+00,1.30101176e+00,1.31169574e+00,1.32090827e+00,1.32921817e+00,1.33694963e+00,1.34431374e+00,1.35146431e+00,1.35852624e+00,1.36561273e+00,1.37283857e+00,1.38033377e+00,1.38826201e+00,1.39685176e+00,1.40645838e+00,1.41771138e+00,1.43195498e+00,1.45324036e+00,1.47187124e+00,1.35852624e+00,1.35930385e+00,5.63145690e-02
