"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[350-by-1]","tseries[350-by-1]"
"2020-Oct-01",1.23033523e+00,1.29748786e+00
"2020-Oct-02",1.22152631e+00,1.31752444e+00
"2020-Oct-03",1.22063399e+00,1.33709775e+00
"2020-Oct-04",1.22832130e+00,1.35522272e+00
"2020-Oct-05",1.24417204e+00,1.37099581e+00
"2020-Oct-06",1.26659606e+00,1.38370831e+00
"2020-Oct-07",1.29302254e+00,1.39289579e+00
"2020-Oct-08",1.32032560e+00,1.39828638e+00
"2020-Oct-09",1.34536900e+00,1.39976689e+00
"2020-Oct-10",1.36554184e+00,1.39741210e+00
"2020-Oct-11",1.37913704e+00,1.39147546e+00
"2020-Oct-12",1.38550414e+00,1.38230554e+00
"2020-Oct-13",1.38495471e+00,1.37025701e+00
"2020-Oct-14",1.37846622e+00,1.35565500e+00
"2020-Oct-15",1.36733779e+00,1.33881055e+00
"2020-Oct-16",1.35290389e+00,1.32002876e+00
"2020-Oct-17",1.33632329e+00,1.29959146e+00
"2020-Oct-18",1.31844811e+00,1.27777368e+00
"2020-Oct-19",1.29976912e+00,1.25489496e+00
"2020-Oct-20",1.28044109e+00,1.23134180e+00
"2020-Oct-21",1.26038005e+00,1.20755388e+00
"2020-Oct-22",1.23938344e+00,1.18399979e+00
"2020-Oct-23",1.21723328e+00,1.16115129e+00
"2020-Oct-24",1.19378075e+00,1.13946195e+00
"2020-Oct-25",1.16901227e+00,1.11932318e+00
"2020-Oct-26",1.14308469e+00,1.10100414e+00
"2020-Oct-27",1.11631758e+00,1.08462783e+00
"2020-Oct-28",1.08915083e+00,1.07018807e+00
"2020-Oct-29",1.06208958e+00,1.05756877e+00
"2020-Oct-30",1.03565433e+00,1.04655795e+00
"2020-Oct-31",1.01033589e+00,1.03686968e+00
"2020-Nov-01",9.86548052e-01,1.02819546e+00
"2020-Nov-02",9.64590905e-01,1.02027683e+00
"2020-Nov-03",9.44640539e-01,1.01294718e+00
"2020-Nov-04",9.26761634e-01,1.00612531e+00
"2020-Nov-05",9.10934375e-01,9.99803181e-01
"2020-Nov-06",8.97086929e-01,9.94060173e-01
"2020-Nov-07",8.85131624e-01,9.89076342e-01
"2020-Nov-08",8.75009244e-01,9.85106551e-01
"2020-Nov-09",8.66726050e-01,9.82416770e-01
"2020-Nov-10",8.60363872e-01,9.81237100e-01
"2020-Nov-11",8.56065442e-01,9.81760287e-01
"2020-Nov-12",8.54001966e-01,9.84148410e-01
"2020-Nov-13",8.54331883e-01,9.88495476e-01
"2020-Nov-14",8.57155709e-01,9.94768315e-01
"2020-Nov-15",8.62465604e-01,1.00278692e+00
"2020-Nov-16",8.70110342e-01,1.01225281e+00
"2020-Nov-17",8.79799298e-01,1.02277706e+00
"2020-Nov-18",8.91141298e-01,1.03387929e+00
"2020-Nov-19",9.03702403e-01,1.04499355e+00
"2020-Nov-20",9.17066872e-01,1.05552537e+00
"2020-Nov-21",9.30890210e-01,1.06493869e+00
"2020-Nov-22",9.44943830e-01,1.07281495e+00
"2020-Nov-23",9.59135442e-01,1.07887701e+00
"2020-Nov-24",9.73485958e-01,1.08300572e+00
"2020-Nov-25",9.88077267e-01,1.08526669e+00
"2020-Nov-26",1.00299601e+00,1.08590772e+00
"2020-Nov-27",1.01828519e+00,1.08530680e+00
"2020-Nov-28",1.03391678e+00,1.08390840e+00
"2020-Nov-29",1.04978297e+00,1.08217548e+00
"2020-Nov-30",1.06570050e+00,1.08055462e+00
"2020-Dec-01",1.08143830e+00,1.07944158e+00
"2020-Dec-02",1.09675095e+00,1.07913202e+00
"2020-Dec-03",1.11140313e+00,1.07980059e+00
"2020-Dec-04",1.12518936e+00,1.08153121e+00
"2020-Dec-05",1.13793204e+00,1.08435505e+00
"2020-Dec-06",1.14945675e+00,1.08827921e+00
"2020-Dec-07",1.15956951e+00,1.09330520e+00
"2020-Dec-08",1.16803827e+00,1.09943860e+00
"2020-Dec-09",1.17459340e+00,1.10670845e+00
"2020-Dec-10",1.17894678e+00,1.11516968e+00
"2020-Dec-11",1.18081051e+00,1.12486197e+00
"2020-Dec-12",1.17993119e+00,1.13575475e+00
"2020-Dec-13",1.17614440e+00,1.14770095e+00
"2020-Dec-14",1.16942330e+00,1.16041550e+00
"2020-Dec-15",1.15991032e+00,1.17348730e+00
"2020-Dec-16",1.14792559e+00,1.18640650e+00
"2020-Dec-17",1.13395976e+00,1.19860509e+00
"2020-Dec-18",1.11866562e+00,1.20952593e+00
"2020-Dec-19",1.10283503e+00,1.21870466e+00
"2020-Dec-20",1.08735014e+00,1.22583818e+00
"2020-Dec-21",1.07312401e+00,1.23081915e+00
"2020-Dec-22",1.06104767e+00,1.23373316e+00
"2020-Dec-23",1.05193783e+00,1.23483486e+00
"2020-Dec-24",1.04647114e+00,1.23451336e+00
"2020-Dec-25",1.04510397e+00,1.23324244e+00
"2020-Dec-26",1.04799970e+00,1.23152106e+00
"2020-Dec-27",1.05499225e+00,1.22981931e+00
"2020-Dec-28",1.06558463e+00,1.22854447e+00
"2020-Dec-29",1.07896035e+00,1.22802566e+00
