"","t_start","t_end","Mean(R)","Std(R)","Median(R)","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","Date","Cases"
"111",112,117,1.04086977895134,0.00354357089883444,1.04086575767146,1.03393594097501,1.03504799003268,1.03633110111993,1.0371974091171,1.0378862675805,1.03847748988475,1.03900861713446,1.03950094733898,1.03996826435911,1.04042053228004,1.04086575767146,1.04131111006117,1.04176376719373,1.04223176209819,1.04272510988017,1.04325768431273,1.0438509445207,1.04454274549877,1.04541362311967,1.04670528480596,1.04782646952667,2020-12-10,14682.2969132624
"112",113,118,1.04350608368611,0.00353786666281342,1.04350208546888,1.03658336020587,1.03769363798707,1.03897470123533,1.03983962413244,1.04052737978872,1.04111765458928,1.04164792985444,1.04213946964148,1.0426060358082,1.04305757650541,1.04350208546888,1.04394672070229,1.04439864837894,1.04486588854222,1.04535844007076,1.04589015421895,1.04648245523553,1.04717313653071,1.04804260284407,1.04933216765239,1.05045152870225,2020-12-11,14858.5797645269
"113",114,119,1.04759266164639,0.00353446619043824,1.0475886866781,1.04067653683423,1.04178576948966,1.0430656220592,1.04392972465703,1.04461682637618,1.04520653875239,1.04573630783734,1.04622737763875,1.04669349700389,1.0471446046449,1.0475886866781,1.04803289424701,1.04848438661724,1.04895117605977,1.04944325171956,1.0499744513207,1.05056617813083,1.05125618847678,1.05212480807168,1.05341311276621,1.05453137587271,2020-12-12,15065.4194857303
"114",115,120,1.05309104780642,0.00353288576150539,1.0530870971276,1.0461779514793,1.04728671370449,1.04856601792735,1.04942974694362,1.05011654967385,1.05070600407689,1.05123554033879,1.05172639341891,1.0521923062684,1.05264321329816,1.0530870971276,1.05353110572564,1.05398239513369,1.054448973966,1.05494082675809,1.05547178479484,1.05606324132238,1.05675293490593,1.05762115331768,1.05890885801792,1.06002659551268,2020-12-13,15305.6993050376
"115",116,121,1.05993708402444,0.0035325983656772,1.05993315950125,1.05302447657301,1.05413317793469,1.05541240555675,1.05627607899869,1.05696283532248,1.05755224833297,1.05808174617917,1.05857256261042,1.0590384397487,1.05948931136062,1.05993315950125,1.06037713158444,1.0608283830431,1.06129492175502,1.06178673127961,1.06231764148774,1.06290904336758,1.06359867140569,1.06446680452087,1.06575437700464,1.06687199421481,2020-12-14,15580.780483219
"116",117,122,1.06801620404528,0.00353300029925966,1.06801230832317,1.06110272688202,1.06221158759866,1.06349099186759,1.0643547802066,1.06504162538294,1.06563111288123,1.06616067625009,1.06665155224055,1.0671174848651,1.06756840920614,1.06801230832317,1.06845633047318,1.06890763187336,1.06937422121642,1.06986608301216,1.07039704837798,1.07098851014981,1.07167820596567,1.07254642124951,1.07383410913935,1.07495182027339,2020-12-15,15889.8393121711
"117",118,123,1.07713422983366,0.00353337589543725,1.07713036626776,1.07021992503493,1.07132894061698,1.07260851553176,1.07347241421961,1.07415934434661,1.07474890278256,1.07527852832635,1.07576946063904,1.07623544555832,1.07668641942944,1.07713036626776,1.07757443512351,1.07802578294143,1.07849241915851,1.0789843291394,1.07951534510773,1.08010686152109,1.08079661875776,1.0816649078494,1.08295269801015,1.08407049095624,2020-12-16,16229.5447769128
"118",119,124,1.08699067554828,0.00353287526690292,1.08698684810059,1.0800772492143,1.08118614805326,1.08246557949227,1.08332937600276,1.08401622183225,1.08460570576659,1.08513526268788,1.08562612996025,1.08609205187142,1.08654296358448,1.08698684810059,1.08743085349348,1.08788213565752,1.08834870277789,1.08884053857881,1.08937147292636,1.08996289653411,1.09065254304427,1.09152068891523,1.09280825880071,1.09392585294934,2020-12-17,16593.9349805874
"119",120,125,1.09716602208134,0.00353052486718559,1.097162235174,1.09025708712143,1.09136529135697,1.09264391199631,1.09350715543067,1.09419355822407,1.09478265962377,1.09531187108901,1.09580241661578,1.09626803177252,1.09671864535353,1.097162235174,1.09760594459091,1.09805692469909,1.09852317823096,1.09901468202761,1.09954525632941,1.10013627685749,1.10082545066672,1.10169299739309,1.10297967027647,1.10409647772097,2020-12-18,16974.5197420173
"120",121,126,1.10713301497411,0.00352528418810867,1.10712927329147,1.10023422291223,1.10134082710712,1.10261759188291,1.10347957644376,1.10416497485459,1.10475321185125,1.10528164490483,1.1057714672998,1.10623639465834,1.1066863412878,1.10712927329147,1.10757232346332,1.10802263224273,1.10848819035268,1.10897895957349,1.1095087391881,1.11009887239416,1.11078700872829,1.11165324518958,1.11293796604643,1.11405307070754,2020-12-19,17360.9040023732
"121",122,127,1.1162956428866,0.00351614694412391,1.11629195112802,1.10941461748937,1.1105183991327,1.11179189741132,1.11265167065069,1.11333530730109,1.11392202984783,1.11444910050393,1.11493765842828,1.11540138414298,1.11585016651349,1.11629195112802,1.11673385233403,1.11718299202244,1.11764734007264,1.11813683218964,1.11866523144004,1.11925382489567,1.11994016293813,1.12080413134622,1.12208547955052,1.12319764824118,2020-12-20,17741.8773443818
"122",123,128,1.12405064923162,0.00350226813613662,1.12404701182878,1.11719667119633,1.11829614120551,1.11956465507877,1.12042105727173,1.12110201006948,1.12168642682531,1.12221142422436,1.12269805878257,1.12315995746751,1.12360697036406,1.12404701182878,1.12448716816836,1.12493453312182,1.12539704497927,1.12588459997551,1.12641090640723,1.12699716652555,1.1276807809413,1.12854131653524,1.12981756475552,1.13092529832508,2020-12-21,18106.6984465505
"123",124,129,1.12985871491368,0.00348308688730476,1.12985513573831,1.12304216582987,1.12413565774849,1.12539726494506,1.12624899856707,1.12692623594907,1.12750746169058,1.12802959069026,1.12851356490881,1.12897293710969,1.12941750367379,1.12985513573831,1.13029288083877,1.13073779382406,1.1311977693818,1.13168264930401,1.1322060663814,1.13278910597687,1.13346896236975,1.13432476322534,1.13559398095769,1.13669560415386,2020-12-22,18446.2420173515
"124",125,130,1.1333118982717,0.00345841851051301,1.13330838036634,1.12654352406781,1.12762931230117,1.12888202257087,1.12972774435578,1.13040019847591,1.13097731690212,1.13149575449099,1.13197630560474,1.1324324274232,1.13287384717393,1.13330838036634,1.13374302465968,1.1341847849014,1.13464149974817,1.13512294106131,1.13564264467796,1.13622154590773,1.13689657420526,1.13774629359894,1.13900648412371,1.14010026443964,2020-12-23,18753.8032327059
"125",126,131,1.13418639888581,0.0034284992910751,1.13418294425054,1.12747648534437,1.12855291756993,1.12979482539712,1.13063324940399,1.13129989806559,1.13187203210173,1.13238599054427,1.13286238851838,1.13331456715119,1.13375216972708,1.13418294425054,1.13461382787676,1.13505176481985,1.13550452581526,1.13598179797839,1.13649699967898,1.13707088445467,1.13774006099668,1.1385824107147,1.13983166426341,1.14091594483274,2020-12-24,19025.6087939984
"126",127,132,1.13247075389748,0.00339397489654325,1.13246736335828,1.12582832465433,1.12689395067276,1.12812338386583,1.1289533817512,1.12961332811164,1.13017970829647,1.13068849655328,1.1311601010035,1.13160772875904,1.13204092618401,1.13246736335828,1.13289390761105,1.13332743319949,1.13377563251268,1.13424809493252,1.13475810338042,1.1353262018222,1.13598862916165,1.13682247992192,1.13805912254663,1.1391324512935,2020-12-25,19261.0584673441
"127",128,133,1.12836348606583,0.00335583335602522,1.12836015923846,1.12179563169613,1.12284931127184,1.12406495530544,1.1248856402219,1.12553817947555,1.12609820117168,1.12660127627787,1.12706758408168,1.12751018355958,1.12793851395595,1.12836015923846,1.12878190958736,1.12921056198065,1.12965372227602,1.1301208719273,1.13062514429588,1.13118685196108,1.13184182557352,1.13266629096527,1.13388900895766,1.13495024651942,2020-12-26,19462.5415775429
"128",129,134,1.1222413960761,0.00331529558521097,1.12223813142521,1.11575281747641,1.11679379378967,1.11799477647578,1.11880556019033,1.11945022495946,1.12000348729106,1.1205004893207,1.12096116701475,1.12139842184576,1.12182157917349,1.12223813142521,1.12265478677969,1.12307826008641,1.12351606525352,1.1239775690614,1.12447574597729,1.12503066276816,1.12567771639931,1.12649220993425,1.12770013437096,1.12874852741591,2020-12-27,19634.8222244223
"129",130,135,1.11460732924818,0.00327368601954194,1.11460412422868,1.10820013433934,1.10922806676686,1.11041399601403,1.11121461436306,1.11185119491651,1.11239751810661,1.11288828573547,1.11334318393107,1.11377495245091,1.1141927997325,1.11460412422868,1.11501554994436,1.11543370743334,1.11586601623697,1.11632172545678,1.11681364651167,1.11736159394106,1.1180005197221,1.11880478012875,1.11999752433005,1.12103273801689,2020-12-28,19784.2003254118
"130",131,136,1.10603029440871,0.00323230799575877,1.10602714566744,1.09970403891494,1.10071899661048,1.10188995297306,1.10268046080531,1.10330900102205,1.10384842291751,1.1043329902927,1.10478214076701,1.10520845324897,1.10562101988533,1.10602714566744,1.1064333708917,1.10684624228839,1.10727308556707,1.10772303282448,1.10820873337224,1.10874975098631,1.10938059524983,1.11017468118735,1.11135233283752,1.11237444393784,2020-12-29,19917.7398637774
"131",132,137,1.0970881286787,0.00319234019940394,1.09708503229092,1.09084005976701,1.09184248265108,1.09299897429461,1.09377971505133,1.0944004882235,1.09493324352181,1.09541182159565,1.09585541998516,1.09627646220946,1.09668392807518,1.09708503229092,1.09748623429541,1.09789399985427,1.09831556404985,1.09875994597451,1.09923963837988,1.0997739628651,1.10039700177514,1.10118126114468,1.10234433675463,1.10335379410527,2020-12-30,20042.6623082565
